Guidelines of Batch,https://d1d34p8vz63oiq.cloudfront.net/373e648a-0579-4218-a032-b060a0eac87f/master.mpd
How to find lectures?,https://d1d34p8vz63oiq.cloudfront.net/b857c796-3a30-4c78-8982-4a8a37063aa1/master.mpd
Demo Lecture By Meenu Gupta Ma'am,https://d1d34p8vz63oiq.cloudfront.net/649ad315-8481-4ec9-b20a-b78a645c31bf/master.mpd
Demo Lecture By Mohd Imran Sir,https://d1d34p8vz63oiq.cloudfront.net/db72ab24-a0db-42cb-9ac6-c6255499203d/master.mpd
Demo lecture by Kushal Anand Sir,https://d1d34p8vz63oiq.cloudfront.net/7b9860fd-e343-4670-bbe2-13a7a2a9055e/master.mpd
Demo Lecture By Ashutosh Sir,https://d1d34p8vz63oiq.cloudfront.net/e6ddc468-d537-4f96-9467-50177121ff4d/master.mpd
Demo Lecture By Lamiya Naseem Ma'am,https://d1d34p8vz63oiq.cloudfront.net/e5897dfe-d6ba-46b8-ac1c-3b35131e5593/master.mpd
Demo lecture by Alok Singh sir,https://d1d34p8vz63oiq.cloudfront.net/a80d541f-67a2-4a58-8412-4046c84aee79/master.mpd
Demo Lecture by Lokesh Sir,https://d1d34p8vz63oiq.cloudfront.net/42d0d480-85a4-41f2-9d4e-8b18c034a9c2/master.mpd
Demo Lecture By Shahnawaz sir (Thermodynamics),https://d1d34p8vz63oiq.cloudfront.net/706033fb-e473-4c5b-b704-d7762f8286ea/master.mpd
Demo Lecture By Shahnawaz sir (Fluid Mechanics),https://d1d34p8vz63oiq.cloudfront.net/2b10034d-4b82-4a6d-9b2d-34237ed5ec9f/master.mpd
आख़िरी प्रहार,Complete Revision || ONE SHOT,https://www.youtube.com/embed/giyyowRywvA
Complete Revision,Class Notes (Non-Technical),https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/3e96168c-3ea3-461e-a9ef-f8d735ec83b2.pdf
आख़िरी प्रहार,Complete Revision || ONE SHOT || Check the  lecture on our "Engineers Wallah - AE, JE" YouTube Channel,https://www.youtube.com/embed/WUQWajI0J_U?si=1qZAFoA6kMCdbflu
आख़िरी प्रहार, Complete Revision,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/534708ad-48cc-47a4-8202-ff56e586c2b1.pdf
Engineering Mechanics 01,Force System & Equilibrium,https://www.youtube.com/embed/8gPWA1G9P4M
Engineering Mechanics 02,Kinematics of particles,https://www.youtube.com/embed/cDi6uLAIzNc
Engineering Mechanics 03,Dynamics Of Particle,https://www.youtube.com/embed/JTOfGbckl_c
Engineering Mechanics 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/a14836ac-004d-463e-a087-3797ae341d3f.pdf
Engineering Mechanics 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/b22c85a9-4970-4001-b8f2-3d8032b06984.pdf
Engineering Mechanics 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/d18800d7-17d2-4d6c-942a-fc0bb983a821.pdf
Engineering mechanics and Theory of Machine,100 Most Expected Questions,https://www.youtube.com/embed/XGcnq9JRBO8
Engineering mechanics and Theory of Machine,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/545968ef-e917-430d-b320-ce059c6aca30.pdf
Strength of Material 01,Simple Stress & Strain (Part-01),https://www.youtube.com/embed/AML1aAZgh5Q
Strength of Material 02,Simple Stress & Strain-2,https://www.youtube.com/embed/j9wi7gWruHQ
Strength of Material 03,SFD & BMD,https://www.youtube.com/embed/BMGIAmO0bCc
Strength of Material 04,Bending & Shear Stresses in Beams,https://www.youtube.com/embed/aRrafE1y8BQ
Strength of Material 05,Complex stress & Strain,https://www.youtube.com/embed/eFXIZzjqeXM
Strength of Material 06,Torsion & Pressure Vessel,https://www.youtube.com/embed/qSHAJ_B9E2k
Strength Of Material 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/a2876050-6242-40c0-b000-8097a18aaba3.pdf
Strength Of Material 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/71bc834d-6fc5-4675-a2d1-12357f2792b3.pdf
Strength Of Material 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/a5e3323e-2f30-46af-9ae0-1a4d9c119765.pdf
Strength Of Material 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/18249e88-0f06-45bc-9b49-c3679f74a278.pdf
Strength Of Material 05,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/010ccc06-b873-4753-acdd-219b8c697240.pdf
Strength Of Material 06,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/d64b8497-2b2b-44c3-8ca3-80538715bd06.pdf
Strength of Material and Machine design,100 Most Expected Questions,https://www.youtube.com/embed/-m84ESccj5s
Strength of Material and Machine design,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/dd2fb8f0-c17b-414a-b571-1120bf99a50b.pdf
Machine Design 01,Dessing against Static & Dynamic Loading,https://www.youtube.com/embed/t-siX4z7rI8
Machine Design 02,Riveted Joint & Clutches,https://www.youtube.com/embed/0IiLJr8Sp9U
Machine Design 03,Bearings & Belt Drive,https://www.youtube.com/embed/v_9gu4oGty0
Machine Design 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/e97e1bdb-eddf-473e-a1c4-17643850251e.pdf
Machine Design 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/73119cac-dd85-4f33-84ad-09a10270063b.pdf
Machine Design 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/73a6c06b-0c6b-47e8-8d79-ca2c5e87e6d9.pdf
Material Science and Production technology 01,Production 10/10 part 1,https://www.youtube.com/embed/ftS71U1qeBY
Material Science and Production technology 02,Production 10/10 part 2 || @Reschedule at 4:05pm,https://www.youtube.com/embed/4uSo7WhCMKI
Material Science and Production technology 03,Production 10/10 part 3,https://www.youtube.com/embed/2vG0Nf2Oiqs
Material Science and Production technology 04,Production 10/10 part 4,https://www.youtube.com/embed/wSdF4RlHyq8
Material Science and Production technology 05,Production 10/10 part 5,https://www.youtube.com/embed/mY2eBQYtRGo
Material Science and Production technology 06,Production 10/10 part 6,https://www.youtube.com/embed/AZCLIiYqHcY
Material Science and Production technology 07,Production 10/10 part 7,https://www.youtube.com/embed/J5oKIM5lbgc
Material Science and Production technology 08,Production 10/10 part 8,https://www.youtube.com/embed/1RU5oTh9_AI
Material Science and Production technology 09,Production 10/10 part 9,https://www.youtube.com/embed/Ijz0haZKGLQ
Material Science and Production technology 10,Production 10/10 part 10,https://www.youtube.com/embed/ZiM-M6QgHgM
Material Science & Production technology  01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6e909ae8-5143-41cc-86c8-409c4ab11e57.pdf
Material Science & Production technology 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/09e49830-161c-438b-a5cb-e38484a7fc9a.pdf
Material Science & Production technology 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/a2845c41-1862-4843-8976-cc0c59e578a0.pdf
Material Science & Production technology 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/cfeb7b91-6c9f-4238-b847-78dc0378db5e.pdf
Material Science & Production technology 05,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/f6fda52e-f9d1-4e7a-bdc7-fc1b07bd5425.pdf
Material Science & Production technology 06,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/8c687fd0-712f-4645-ad69-0a32d9cd9a45.pdf
Material Science & Production technology 07,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/78087a4b-f25d-4dc6-9ed5-b738a021c123.pdf
Material Science & Production technology 08,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/dc4c7eb7-d8bd-4050-b8b3-582586feff5a.pdf
Material Science & Production technology 09,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/1b4029bf-ac6c-4409-b671-56b16fc7b67c.pdf
Material Science & Production technology 10,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/543086ea-89be-4b8f-9ce9-343d9152e77b.pdf
Material Science and Production technology,100 Most Expected Questions,https://www.youtube.com/embed/x4aXfhJODJ0
Material Science and Production technology,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/41ee2fe9-1e19-44a5-993b-a5d1ba127d76.pdf
Theory of Machine 01,Kinematics Of Machines,https://www.youtube.com/embed/S5dOedYwQLk
Theory of Machine 02,Gear & Gear Train,https://www.youtube.com/embed/mLCVprcOtFY
Theory of Machine 03,Flywheel and Governor,https://www.youtube.com/embed/rngqDFJIJkQ
Theory of Machine 04,Cam Follower Mechanism,https://www.youtube.com/embed/blRw95Fb5bc
Theory of Machine 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/05a9c341-560d-403d-b5d9-9e50273f8265.pdf
Theory of Machine 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/cb35ee83-fc67-4047-8e9e-0874ce6e9ae6.pdf
Theory of Machine 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/1b7dfe85-d0d1-454c-bc08-cba42f6687ba.pdf
Theory of Machine 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/17cb0efa-dabf-43ed-a63d-c6654ade6a2f.pdf
Fluid mechanics and Hydraulic Machine 01,Fluid Properties,https://www.youtube.com/embed/rigErFV6k4A
Fluid mechanics and Hydraulic Machine 02,Fluid Statics,https://www.youtube.com/embed/-zA_hkcNg_c
Fluid mechanics and Hydraulic Machine 03,Fluid Kinematics,https://www.youtube.com/embed/4Pd2ZWo0iw4
Fluid mechanics and Hydraulic Machine 04,Fluid Dynamics,https://www.youtube.com/embed/0urhZe-wL9g
Fluid mechanics and Hydraulic Machine 05,Boundary Layer Theory,https://www.youtube.com/embed/5wZ9jTHkVHk
Fluid mechanics and Hydraulic Machine 06,Impact of Jet & Plant Layout,https://www.youtube.com/embed/DeCFN2Y23iA
Fluid mechanics and Hydraulic Machine 07,Turbines  and Pumps,https://www.youtube.com/embed/ykDNXloDg0w
Fluid Mechanics and Hydraulic Machine 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/d4814304-c6a2-45ae-aa80-d054a138a2d9.pdf
Fluid Mechanics and Hydraulic Machine 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/b8a9915b-2142-46c6-aadc-16261709c5d2.pdf
Fluid Mechanics and Hydraulic Machine 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/e27be336-99a4-41d4-99ce-3d1f3f931fda.pdf
Fluid Mechanics and Hydraulic Machine 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/24fb081a-fba8-4d74-af61-4d3760d7bf2d.pdf
Fluid Mechanics and Hydraulic Machine 05,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/44f58ebf-0952-40a6-9e05-352e6938c049.pdf
Fluid Mechanics and Hydraulic Machine 06,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6fe2f75e-0c68-416d-add1-9968f2271d6f.pdf
Fluid Mechanics and Hydraulic Machine 07,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6997c769-e405-434d-b855-9798b2f21749.pdf
Fluid mechanics and Hydraulic Machine :100 Most Expected Questions,https://www.youtube.com/embed/IzSDLSJz58I
Fluid mechanics and Hydraulic Machine,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/77fcf009-2067-4f6d-9612-9148353d2053.pdf
Applied Thermodynamics 01,Brayton Cycle,https://www.youtube.com/embed/LHyg-VhAKtU
Applied Thermodynamics 02,Ranking Cycle,https://www.youtube.com/embed/aRNUgCbQggw
Applied Thermodynamics 03,Boiler,https://www.youtube.com/embed/693qD5f1d-w
Applied Thermodynamics 04,Otto, Diesel & Dual cycle,https://www.youtube.com/embed/qwUvkJpCJUA
Applied Thermodynamics 05,Engine Performance Parameter,https://www.youtube.com/embed/Ui2UjT0CiXM
Applied Thermodynamics 06,Engine & RAC, One Shot,https://www.youtube.com/embed/xSAVnKWM4Bo
Applied Thermodynamics 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/1c2e451a-6aa6-4a99-b775-95880d0c5381.pdf
Applied Thermodynamics 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/f5d82546-0730-40dc-bcf3-4181c97933e9.pdf
Applied Thermodynamics 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/70968a0f-0745-4377-be70-2024f63c0bd7.pdf
Applied Thermodynamics 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/7e8c0ac3-702d-4065-9a23-e1cc7b560d79.pdf
Applied Thermodynamics 05,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/983e55be-cdd7-4eac-b67f-6bb8fcb07ffd.pdf
Applied Thermodynamics 06,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/87a43d26-76bf-4df5-945d-3b25965203d4.pdf
Applied Thermodynamics,100 Most Expected Questions,https://www.youtube.com/embed/TJN3uzgK9To
Applied Thermodynamics,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/fe4dcdad-920c-405b-aded-015b176b1235.pdf
Thermodynamics 01,Basic Concepts of Thermodynamics,https://www.youtube.com/embed/UVpxsimdo9k
Thermodynamics 02,Zeroth Law of Thermodynamics & Thermometry,https://www.youtube.com/embed/N0sdCp71QEI
Thermodynamics 03 :Thermodynamics Work & Heat,https://www.youtube.com/embed/eW9WHeLBSOM
Thermodynamics 04,First Law of Thermodynamics,https://www.youtube.com/embed/xTd2jaCj9dk
Thermodynamics 05,Steady Flow Energy Equation,https://www.youtube.com/embed/35v3hqrMrxM
Thermodynamics 06,Second law of Thermodynamics,https://www.youtube.com/embed/QGuAxFaWZvQ
Thermodynamics 07,Entropy and Availability,https://www.youtube.com/embed/qcefcbbgb8k
Thermodynamics 08,Thermodynamic Relationship,https://www.youtube.com/embed/0SMJehgVJqw?si=zINJrUz7yXFCgzqD
Thermodynamics 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/4c9defb8-eb0a-4fbb-b690-2bbff3add052.pdf
Thermodynamics 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/51348f20-e7be-446f-8e4a-6d5e52c1e0da.pdf
Thermodynamics 03,Class Notes,https://static.pw.live/5eb393ee95fab7468a79d189/754fec16-3916-4eeb-bb9a-e60f0d9dc619.pdf
Thermodynamics 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/7ddec5b5-86c6-4db8-92dc-004e9ab75445.pdf
Thermodynamics 05,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/318fe804-87eb-487c-a937-1f19f46c5d80.pdf
Thermodynamics 06,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/930df012-6604-4b22-8505-0686b64faa2b.pdf
Thermodynamics 07,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/30ff1e7c-70fb-44ba-84bc-1e0d665680c6.pdf
Thermodynamics 08,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/898552f5-a039-41d7-a3bc-29825fdedd09.pdf
Thermodynamics,100 Most Expected Questions,https://www.youtube.com/embed/-zNE2bsiCXc
Thermodynamics,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/1b02e310-c47d-42d0-89eb-9092bff8edcc.pdf
Reasoning 04, Analogies,https://www.youtube.com/embed/O__6R1s7-hQ
Reasoning 05,Arithmetical number series,https://www.youtube.com/embed/hvRUxU-Hk2o
Reasoning 06,Coding Decoding,https://www.youtube.com/embed/xENMXCDu1xY
Reasoning 07,Similarities & Differences (Classification),https://www.youtube.com/embed/HwiSZw0GyHo
Reasoning 08,Space Visualization (Non Verbal),https://www.youtube.com/embed/REgKKVX2jac
Reasoning 09,Arithematical Reasoning,https://www.youtube.com/embed/3KxAdtO7tGQ
Reasoning 10,Decision-making,https://www.youtube.com/embed/q0d40YB3Ogw
Reasoning 11 :Missing Number Set,https://www.youtube.com/embed/La1mO5IIX0E
Reasoning 12 :Sitting Analysis,https://www.youtube.com/embed/L1qKLTwqfnA
Reasoning 13,Syllogism,https://www.youtube.com/embed/gBCq20aFBRM
Reasoning 14,Critical Reasoning,https://www.youtube.com/embed/JuUiYaj6lcY
Reasoning 15,Direction Observation,https://www.youtube.com/embed/KuvSd2TYHUE
Reasoning 16,Comparison  & Ranking,https://www.youtube.com/embed/UszAke2mQzg
Reasoning 17,Discrimination(Figure counting),https://www.youtube.com/embed/KOO526AdpDs
Reasoning 18,Dice,https://www.youtube.com/embed/kIiSNMCtrTA
Reasoning 19,Cube,https://www.youtube.com/embed/tRbtnUVmEhc
Reasoning 20,Venn Diagram,https://www.youtube.com/embed/007zuOg50ik
Reasoning 21,Clock Calendar,https://www.youtube.com/embed/GbiAb3HPEb0
Reasoning 22,Clock Calendar (part 02),https://www.youtube.com/embed/2v_ERnFmQOg
Reasoning 23,Live mock Test,Based On New Exam pattern,https://www.youtube.com/embed/t0EGysodWuM
Reasoning 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/b0f4f0bb-d9c4-47bb-8d26-11db8740c5c8.pdf
Reasoning 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/0b3d771b-c37a-4ee5-9b78-35236166b6ad.pdf
Reasoning 05,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/ad20991a-18b7-4b63-93f7-85284cf5cb00.pdf
Reasoning 06,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/1914ab89-9679-4ea7-b48d-1531d98c5e40.pdf
Reasoning 07,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/3f7c8957-1474-43d9-b485-77c09bb3684b.pdf
Reasoning 08,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/da5c61fe-12e0-4a3c-9e74-fba69894840d.pdf
Reasoning 09,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/8692c5f2-7c21-4b72-9882-a8d88743c48d.pdf
Reasoning 10,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/815ee495-9a4a-4469-bd86-c6ea421c579d.pdf
Reasoning 11,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6e9b63a0-f531-486c-bea4-06b2045fa039.pdf
Reasoning 12,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/188a4c8b-b3d9-4cae-9a24-bb07f70acc09.pdf
Reasoning 13,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/577734ea-9251-44c9-b284-b23c950d5b7e.pdf
Reasoning 14,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/db5210c8-61b5-4656-b6e1-19884a4a5d41.pdf
Reasoning 16,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/e6783bdb-3d42-4f3d-ac41-e3dac72dce6f.pdf
Reasoning 17,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/f51957de-bb0c-4e72-a4e1-9a15010cecd0.pdf
Reasoning 18,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/bc6fe463-ba6b-4835-b7e1-1222bce2e260.pdf
Reasoning 19,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/ee31b9e2-4656-46a4-a053-f9bb0b31dfbf.pdf
Reasoning 20,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/faad7f8a-a594-4637-a997-c6c32b739dbe.pdf
Reasoning 21,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/c7b07855-01ec-4576-acbf-f2ad499b11f7.pdf
Reasoning 22,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/3bddb57f-df20-40b8-ba11-b90c1d99fdd9.pdf
